('2158417483', '傻呆呆的布丁', 'f', '848', '12071'), 
('1700810032', '米多多团', 'f', '474', '12068'), 
('2713928711', '小小小妮girlie', 'f', '451', '12027'), 
('1742165164', 'Evayen', 'f', '382', '12000'), 
('1828530192', '讲一个故事给你听', 'f', '635', '11981'), 
('1760456651', 'MISSVV私人高端定制', 'f', '1534', '11978'), 
('3723384951', '萌妹丫头团', 'f', '291', '11985'), 
('3861032970', '就那家店_', 'f', '1944', '11923'), 
('2738385535', '洁_安润jerryaaron', 'f', '384', '12405'), 
('3800553224', 'Nicholas_xixi', 'f', '138', '11745'), 
('2156203575', 'Camille-gogo', 'f', '417', '11695'), 
('2180343814', '小禅禅儿', 'f', '1843', '11712'), 
('1855183045', 'BOBIWater_Mting', 'f', '178', '11604'), 
('1836862942', '_____zzZZ喵喵', 'f', '592', '11420'), 
('1735283164', 'Cici林cici', 'f', '850', '11378'), 
('1977562655', 'Vivine_Qu', 'f', '519', '11364'), 
('2241259850', 'xiaoyu高端珠宝定制VCA', 'f', '1159', '11388'), 
('5196844877', '濯川', 'm', '586', '11419'), 
('3056547527', '大搜罗淘宝网', 'f', '1543', '11298'), 
('1453800123', '哆啦E悠', 'f', '282', '11288'), 
('1730536453', '蕊小妞', 'f', '650', '11249'), 
('3300409897', '柠檬定制', 'f', '449', '11408'), 
('2145377167', '吴小多零食百货', 'f', '252', '11364'), 
('5067324058', '太太团-2014', 'f', '70', '11332'), 
('2680068785', 'Sue-la-la', 'f', '377', '11128'), 
('1814096975', 'Rolangle', 'f', '1476', '11093'), 
('1940756521', 'Carrie小雪酱', 'f', '363', '1920'), 
('1965696427', '一輩子安安分分的小亭', 'f', '672', '10999'), 
('1858576594', 'kiko_boutique', 'f', '147', '10984'), 
('2948872612', '稳稳在多伦多', 'f', '487', '10936'), 
('1925175420', 'Johnny-SLS', 'f', '565', '10935'), 
('2465597187', '李依然miao', 'f', '1454', '10885'), 
('2575267561', 'Yoyo的微bo', 'f', '366', '10809'), 
('2135658590', 'Yolanda碧瑶', 'f', '396', '16816'), 
('1847953061', 'NUO_O', 'f', '432', '10793'), 
('1715964010', '戢源桐_Elena', 'f', '240', '10771'), 
('2701660010', '小维___19816', 'f', '305', '10706'), 
('1922956255', '晴天小猪xueli', 'f', '263', '10668'), 
