('3799575981', '她的歌--', 'f', '24', '7'), 
('5334953242', '小叶子就是小叶子本人', 'f', '46', '6'), 
('1440032855', '柚姿0033', 'f', '316', '112'), 
('5334945330', '败家是一种习惯', 'f', '117', '4'), 
('2237949010', '茉莉_chris', 'f', '371', '295'), 
('2184028922', 'Zollily', 'f', '128', '59'), 
('1749733914', 'YongForver', 'f', '254', '386'), 
('2105322462', '心宽体瘦的CC', 'f', '947', '134'), 
('3889521850', 'mumu要败家', 'f', '486', '6522'), 
('2100969434', 'CeCe梁薇', 'f', '541', '256'), 
('2057113362', '花生小栗子酱', 'f', '107', '29'), 
('2168387637', '勿忘初衷909', 'f', '50', '243'), 
('1852508752', '小小vs向日葵', 'f', '132', '189'), 
('5188892947', '茉莉Morii的一片净土拉拉', 'f', '242', '22'), 
('1150581513', 'vivian来笑一个', 'f', '833', '488'), 
('2519559262', 'Super肥大迪', 'f', '754', '1432'), 
('1282326264', '大M的窝', 'f', '672', '497'), 
('2672547940', '云云6888的美丽人生', 'f', '194', '11'), 
('1635198111', 'BMyyyiii_', 'f', '773', '592'), 
('2702593983', '拖延症裝嫩醬', 'f', '170', '158'), 
('5163898386', '徐夕颜oc', 'f', '410', '59'), 
('1631672890', '幸守谦', 'f', '1278', '167'), 
('1323752972', '小包子的围脖2010', 'f', '130', '109'), 
('5058936768', '-_-_-_-_-_-_-_-_-_-_-_-_-_-2', 'f', '298', '80'), 
('3203430340', '长草少女', 'f', '144', '34'), 
('5305386490', 'sunny是小小小号呀', 'f', '70', '8'), 
('1883285017', 'Wu-Shu-Hui-0598', 'f', '159', '111'), 
('2782664433', 'dorabulbul2012', 'f', '71', '60'), 
('2476435137', 'fwvivian-', 'f', '1111', '300'), 
('2857914881', '红星闪闪的xiao敏', 'f', '306', '40'), 
('1874319093', '冬日的一抹阳光', 'f', '662', '60'), 
('1483808632', '默小默mo_mo', 'f', '180', '262'), 
('2718896791', 'Foi_ferme', 'f', '213', '149'), 
('2754308355', '芬少-黄', 'f', '332', '2204'), 
('1931829371', 'kim145', 'f', '42', '95'), 
('3930251725', '深井冰的vie', 'f', '328', '52'), 
('1885416890', 'Mr_Hamster', 'f', '284', '257'), 
('1848801922', 'L大脸猫爱吃鱼m', 'f', '297', '191'), 
('2185532495', '杜蕊820820', 'f', '389', '75'), 
('3316567701', '鱼木头yjx', 'f', '19', '34'), 
('3762704080', 'W小果爱水果', 'f', '70', '44'), 
('1764041177', '彤_小森儿', 'f', '421', '240'), 
('2087622817', 'nongfuspring1990', 'f', '324', '577'), 
('1651125035', '铃娅葶', 'f', '610', '2478'), 
('1768982640', '噜噜啦啦咿啊哦', 'f', '96', '11'), 
('1747994250', 'yoyo哇噻', 'f', '388', '646'), 
('3514756774', '小满娘娘', 'f', '60', '59'), 
('3558472751', '童童的铭陀陀', 'f', '107', '65'), 
('2850462343', 'blackqueen私人定制', 'f', '550', '1723'), 
('3846822522', '草原上的小羊们', 'f', '48', '18'), 
('5333305009', 'Michelleblabla', 'f', '27', '8'), 
('1149563411', 'TachibanaYui爱做饭', 'm', '926', '240'), 
('68805202', '莱恩君开疆辟土壮猛士', 'f', '434', '826'), 
('3450931794', 'samjicheung', 'f', '419', '137'), 
('1640410765', 'Hey蓝色的糖豆豆', 'f', '62', '59'), 
('1880623201', '-----YW', 'f', '408', '508'), 
('5066696205', '认真的转闲置', 'f', '246', '237'), 
('1290929950', '陈家小茜', 'f', '1171', '1280'), 
('3994705439', '少女天生购物狂', 'f', '45', '14'), 
('1908031787', '暁暁暧', 'f', '258', '197'), 
('3268815450', 'youyou0213', 'f', '62', '81'), 
('2276605142', 'babyChen415', 'f', '2453', '1204'), 
('2325931523', 'Sissi的G小調', 'f', '217', '196'), 
('1968139527', '家有儿女0511', 'm', '119', '32'), 
('3149484025', '黑色平衡', 'f', '168', '567'), 
('2419767945', 'QQMMZZ', 'f', '65', '9'), 
('1813654100', '番薯红薯', 'f', '213', '145'), 
('1770914910', '慕歌W', 'f', '286', '292'), 
('1802037280', 'Shining_401', 'f', '120', '120'), 
('1788901001', 'rainy-涵', 'f', '503', '578'), 
('3263179360', '春暖因为_花开', 'f', '257', '55'), 
('2402155047', 'CC美妆芭比', 'f', '316', '1243'), 
('2879357194', '游乐儿7766', 'f', '89', '36'), 
('1763401587', '___不黑不白的小灰灰丶', 'f', '459', '176'), 
('5112675214', '长颈鹿的小马甲', 'f', '303', '52'), 
('1624785612', '3s小尾巴', 'f', '258', '194'), 
('1302585702', '高能机智少女', 'f', '459', '708'), 
('3774372014', 'jenniferjh118', 'f', '256', '49'), 
('1748625500', '被海关逼疯的阿朵', 'f', '228', '288'), 
('3525686203', '藍社長app', 'f', '831', '168'), 
('1862365183', '黏黏黏黏_小黏黏tina', 'f', '477', '909'), 
('5311637574', 'la_semaine', 'f', '177', '43'), 
('5309658304', '用户5309658304', 'm', '959', '8'), 
('1504474967', 'Yanmzzz', 'f', '545', '114'), 
('2763295941', '朱小珠_Crystal', 'f', '207', '1161'), 
('1864003324', '我是谁的谁谁是我的谁爱谁谁', 'f', '159', '171'), 
('5043129982', '请喊我性感猪猪', 'f', '101', '29'), 
('2571994177', 'puppy_mommy', 'f', '1658', '643'), 
('5176244639', '熊小萱Amy', 'f', '114', '42'), 
('2169931804', '常毛毛2011', 'f', '316', '234'), 
('3276958101', '旁若无人空荡荡', 'f', '176', '16'), 
('1060759217', '票票妈的小号', 'f', '441', '69'), 
('1668496964', '流苏旧时光', 'm', '202', '17'), 
('2294071444', '陳夢潔丶Eve', 'f', '156', '869'), 
('1792056973', '不会飞的蚊子75', 'f', '256', '67'), 
('5199820373', '豆包8686', 'f', '77', '10'), 
('2902247482', '雨蒙er_', 'f', '298', '12692'), 
